# ==============================================
# DUMMY CREDENTIALS FOR SECURITY SCANNER TESTING
# All values are fake and not in use anywhere.
# ==============================================

# AWS Access Keys
AWS_ACCESS_KEY_ID = "AKIAIOSFODNN7EXAMPLE"
AWS_SECRET_ACCESS_KEY = "wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY"

# GitHub Personal Access Token (classic)
GITHUB_TOKEN = "ghp_1A2b3C4d5E6f7G8h9I0jK1lM2nO3pQ4rS5tU6v"

# Google API Key
GOOGLE_API_KEY = "AIzaSyD4eFgH5jKlMnOpQrStUvWxYz-1234567890"

# Generic API Key
API_KEY = "dQw4w9WgXcQ1b2F3d4E5f6G7h8I9j0K1"

# PostgreSQL connection string (with password)
DATABASE_URL = "postgresql://user:Passw0rd!@localhost:5432/mydb"

# MongoDB connection string (with credentials)
MONGODB_URI = "mongodb+srv://admin:Secret123@cluster0.mongodb.net/test"

# RSA Private Key (dummy 2048-bit)
RSA_PRIVATE_KEY = """-----BEGIN RSA PRIVATE KEY-----
MIIEowIBAAKCAQEAu7+... (truncated for brevity)
-----END RSA PRIVATE KEY-----"""

# JWT Secret
JWT_SECRET = "your-256-bit-secret-here-1234567890abcdef"

# OAuth2 Client Secret
OAUTH_CLIENT_SECRET = "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5o6p"

# Docker Hub credentials (dummy)
DOCKER_USER = "testuser"
DOCKER_PASS = "TestPass123!"

# Azure Storage Account Key
AZURE_STORAGE_KEY = "Eby8vdM02xNOcqFlqUwJPLlmEtlCDXJ1OUzFT50uSRZ6IFsuFq2UVErCz4I6tq/K1SZFPTOtr/KBHBeksoGMGw=="

# Twilio credentials
TWILIO_ACCOUNT_SID = "ACa1234567890abcdef1234567890abcd"
TWILIO_AUTH_TOKEN = "a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6"

# SendGrid API Key
SENDGRID_API_KEY = "SG.abcdefghijklmnopqrstuvwxyz.ABCDEFGHIJKLMNOPQRSTUVWXYZ123456"

# Snowflake credentials
SNOWFLAKE_USER = "test_user"
SNOWFLAKE_PASSWORD = "Snow@2024!Strong"
